Бренд,Модель,Год,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,Цена,Средння цена,На заказ,VIN,Аварийная/Не на ходу,Двигатель
Daewoo,Nexia, 2012,Нур-Султан (Астана),седан,1.5 (бензин),108 000 км,механика,слева,синий металлик,передний привод,Нет,1 150 000 ₸,1 679 000,,,,
Mercedes-Benz,190, 1991,Караганда,седан,2.3 (бензин),,автомат,слева,серый,задний привод,Да,1 500 000 ₸,977 000,,,,
Toyota,Land Cruiser Prado, 2011,Сатпаев,внедорожник,4 (бензин),,автомат,слева,черный,полный привод,Да,14 899 999 ₸,12 518 000,,,,
Mercedes-Benz,E 230, 1989,Шымкент,седан,2.3 (бензин),200 000 км,механика,слева,черный металлик,задний привод,Да,1 500 000 ₸,,На заказ,,,
Mercedes-Benz,C 200, 2001,Уральск,седан,2 (бензин),280 000 км,автомат,слева,серебристый металлик,задний привод,Нет,1 700 000 ₸,2 828 000,,,,
Toyota,Camry, 2018,Шымкент,седан,2.5 (бензин),22 000 км,автомат,слева,белый металлик,передний привод,Да,13 700 000 ₸,12 966 000,,,,
Honda,Inspire, 2005,Нур-Султан (Астана),седан,3 (бензин),290 000 км,автомат,справа,серебристый металлик,передний привод,Нет,3 000 000 ₸,2 325 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2008,Уральск,хэтчбек,1.5 (бензин),130 000 км,механика,слева,серебристый металлик,передний привод,Нет,800 000 ₸,1 034 000,,,,
ВАЗ (Lada),2115 (седан), 2004,Уральск,седан,1.5 (бензин),160 000 км,механика,слева,зеленый металлик,передний привод,Нет,690 000 ₸,830 000,,,,
Mercedes-Benz,Sprinter, 2008,Алматы,фургон,2.2 (дизель),306 300 км,автомат,слева,белый,задний привод,Да,5 700 000 ₸,6 944 000,,,,
Toyota,RAV 4, 2020,Алматы,кроссовер,2 (бензин),,автомат,слева,белый металлик,полный привод,Да,16 500 000 ₸,16 723 000,,,,
Daewoo,Matiz, 2010,Павлодар,хэтчбек,0.8 (бензин),138 000 км,механика,слева,белый,передний привод,Да,850 000 ₸,1 422 000,,,,
Subaru,Legacy, 1996,Нур-Султан (Астана),универсал,2 (бензин),236 000 км,автомат,справа,,полный привод,Да,1 850 000 ₸,1 746 000,,,,
Toyota,Land Cruiser Prado, 2014,Алматы,внедорожник,2.7 (бензин),74 000 км,автомат,слева,серебристый металлик,полный привод,Да,15 200 000 ₸,15 442 000,,,,
Hyundai,Accent, 2011,Нур-Султан (Астана),хэтчбек,1.4 (бензин),84 000 км,автомат,слева,белый,,Да,3 900 000 ₸,3 561 000,,,,
Toyota,Camry, 2019,Нур-Султан (Астана),седан,2.5 (бензин),33 000 км,автомат,слева,белый,передний привод,Да,12 500 000 ₸,13 687 000,,,,
ВАЗ (Lada),2110 (седан), 2012,Семей,седан,1.6 (бензин),96 000 км,механика,слева,серебристый металлик,,Нет,1 370 000 ₸,1 800 000,,,,
ВАЗ (Lada),2107, 2008,Актобе,седан,1.6 (бензин),85 000 км,механика,слева,вишня металлик,задний привод,Нет,850 000 ₸,810 000,,,,
Nissan,Qashqai, 2010,Нур-Султан (Астана),кроссовер,2 (бензин),164 000 км,вариатор,слева,черный металлик,полный привод,Да,5 100 000 ₸,5 191 000,,,,
ВАЗ (Lada),2112 (хэтчбек), 2003,Караганда,хэтчбек,1.5 (бензин),,механика,слева,серебристый металлик,передний привод,Нет,550 000 ₸,796 000,,,,
Mercedes-Benz,E 280, 1996,Шымкент,седан,2.8 (бензин),3 333 км,автомат,слева,серебристый металлик,задний привод,Да,2 500 000 ₸,2 502 000,,,,
Volkswagen,Transporter, 2010,Костанай,фургон,2 (дизель),181 000 км,механика,слева,жёлтый металлик,передний привод,Да,6 250 000 ₸,6 300 000,,,,
Cadillac,Escalade, 2007,Алматы,внедорожник,6.2 (газ-бензин),167 700 км,автомат,слева,черный,полный привод,Да,7 800 000 ₸,8 231 000,,,,
Volkswagen,Passat, 1991,Шымкент,универсал,1.8 (бензин),150 000 км,механика,слева,красный,передний привод,Да,1 000 000 ₸,1 075 000,,,,
